Date,Price,Open,High,Low,Vol.,Change %
2018-07-05,0.9993,0.9989,1.0065,0.9985,531.86K,0.04%
2018-07-06,0.9988,1.0094,1.0101,0.9964,777.36K,-0.05%
2018-07-07,1.0003,1.0057,1.0063,0.9946,423.20K,0.14%
2018-07-08,0.9994,1.0044,1.005,0.9988,270.61K,-0.08%
2018-07-09,0.9992,0.9994,1.0047,0.9992,627.25K,-0.03%
2018-07-10,1.0,0.9992,1.0069,0.9989,710.00K,0.08%
2018-07-11,1.0021,1.0091,1.0129,0.999,660.47K,0.21%
2018-07-12,0.9992,1.0021,1.0112,0.9983,1.12M,-0.29%
2018-07-13,1.002,0.9991,1.0127,0.9991,821.09K,0.28%
2018-07-14,0.9994,1.002,1.0159,0.9958,1.42M,-0.26%
2018-07-15,1.0,1.0045,1.0127,0.9978,1.28M,0.06%
2018-07-16,0.9989,1.0111,1.0134,0.9913,3.19M,-0.10%
2018-07-17,0.999,0.9983,1.0005,0.9951,1.80M,0.01%
2018-07-18,0.9988,0.999,1.0,0.9924,3.99M,-0.03%
2018-07-19,0.9998,0.9988,0.9998,0.9955,1.42M,0.11%
2018-07-20,0.9982,0.9998,0.9999,0.9962,1.22M,-0.16%
2018-07-21,0.9998,0.9982,1.0039,0.9973,374.44K,0.16%
2018-07-22,0.9988,0.9997,1.0134,0.9953,2.10M,-0.10%
2018-07-23,0.9978,0.9988,1.0009,0.9958,1.77M,-0.11%
2018-07-24,0.9981,1.001,1.0023,0.9965,1.75M,0.03%
2018-07-25,0.9981,0.9981,0.9998,0.994,1.42M,0.00%
2018-07-26,0.999,0.9981,0.9994,0.9922,1.27M,0.08%
2018-07-27,0.9997,1.001,1.0014,0.9964,1.61M,0.07%
2018-07-28,0.9985,0.9997,1.0037,0.9936,212.92K,-0.12%
2018-07-29,0.9999,0.9985,1.0009,0.9944,3.12M,0.13%
2018-07-30,0.9973,0.9999,1.0006,0.9954,791.67K,-0.26%
2018-07-31,0.9981,0.9973,1.0094,0.9888,1.45M,0.08%
2018-08-01,0.9995,0.9981,1.0055,0.9961,639.42K,0.14%
2018-08-02,0.9985,1.0058,1.0065,0.9866,675.29K,-0.10%
2018-08-03,0.9991,0.9985,0.9991,0.9974,1.52M,0.05%
2018-08-04,0.9989,1.0045,1.0045,0.9973,499.88K,-0.01%
2018-08-05,0.9992,1.0021,1.0041,0.9974,722.23K,0.03%
2018-08-06,0.9975,1.005,1.0234,0.989,635.29K,-0.17%
2018-08-07,0.9998,0.9975,1.0034,0.9975,867.02K,0.23%
2018-08-08,1.0002,1.004,1.0045,1.0002,2.48M,0.04%
2018-08-09,0.999,1.0002,1.0103,0.9924,2.21M,-0.12%
2018-08-10,1.0003,0.999,1.0078,0.999,1.78M,0.13%
2018-08-11,1.0011,1.0056,1.0074,0.9993,856.63K,0.08%
2018-08-12,1.0,1.0011,1.0186,0.999,265.03K,-0.11%
2018-08-13,1.0,1.0,1.0189,0.9935,2.86M,0.00%
2018-08-14,1.0015,1.0,1.0282,0.9993,2.31M,0.14%
2018-08-15,1.0011,1.0117,1.0117,1.0,985.69K,-0.03%
2018-08-16,0.9993,1.0011,1.0026,0.9976,1.57M,-0.18%
2018-08-17,0.9999,0.9993,1.0039,0.9966,865.96K,0.05%
2018-08-18,1.0019,0.9999,1.0127,0.9999,571.54K,0.21%
2018-08-19,1.0004,1.0019,1.0042,1.0003,218.80K,-0.15%
2018-08-20,1.0006,1.0004,1.0047,0.9982,1.11M,0.02%
2018-08-21,0.9993,1.0006,1.0201,0.9991,364.15K,-0.13%
2018-08-22,0.9997,1.0039,1.0066,0.9968,1.86M,0.04%
2018-08-23,1.0002,0.9997,1.0147,0.9995,690.68K,0.04%
2018-08-24,0.9995,1.0002,1.007,0.9992,244.23K,-0.07%
2018-08-25,1.0007,1.0045,1.0133,0.9979,176.54K,0.12%
2018-08-26,0.9993,1.0052,1.0063,0.9929,156.37K,-0.13%
2018-08-27,0.9999,0.9993,1.022,0.9993,1.48M,0.05%
2018-08-28,0.9986,0.9999,1.0028,0.9973,3.02M,-0.12%
2018-08-29,0.9987,0.9991,1.0022,0.9978,1.26M,0.01%
2018-08-30,0.9992,0.9987,0.9992,0.9973,1.02M,0.04%
2018-08-31,1.0,1.0044,1.0051,0.9876,2.71M,0.08%
2018-09-01,0.9983,1.0,1.0043,0.9982,1.73M,-0.16%
2018-09-02,0.9986,0.9983,1.0025,0.9941,1.74M,0.03%
2018-09-03,0.9985,0.9986,0.9986,0.9983,375.51K,-0.01%
2018-09-04,0.9969,0.9985,1.0011,0.9969,2.17M,-0.16%
2018-09-05,0.9965,0.9969,1.0026,0.9965,5.92M,-0.04%
2018-09-06,0.9982,0.9965,1.0117,0.9965,2.32M,0.17%
2018-09-07,0.9999,1.0108,1.0141,0.9982,1.81M,0.17%
2018-09-08,1.0005,0.9999,1.0191,0.9991,784.68K,0.06%
2018-09-09,0.9983,1.0005,1.0285,0.9982,907.54K,-0.22%
2018-09-10,0.9979,1.0188,1.0188,0.9979,998.88K,-0.04%
2018-09-11,0.9985,0.9979,0.9985,0.9947,1.21M,0.06%
2018-09-12,0.9982,1.0187,1.0192,0.9918,2.67M,-0.03%
2018-09-13,0.9994,0.9982,1.0165,0.9982,2.78M,0.12%
2018-09-14,0.9997,1.0088,1.0091,0.9991,1.99M,0.03%
2018-09-15,1.0,1.0082,1.0088,0.9991,350.76K,0.03%
2018-09-16,0.9999,1.0065,1.0066,0.9999,93.31K,0.00%
2018-09-17,0.9992,1.0052,1.0083,0.9992,888.18K,-0.08%
2018-09-18,0.9992,0.9992,1.0137,0.9944,2.01M,0.00%
2018-09-19,1.0082,0.9992,1.0105,0.9978,21.75K,0.91%
2018-09-20,0.9993,1.0082,1.0082,0.9993,1.69M,-0.89%
2018-09-21,0.9984,0.9993,1.0092,0.9811,1.70M,-0.09%
2018-09-22,0.9986,0.9984,1.0048,0.998,758.20K,0.02%
2018-09-23,0.9991,0.9986,1.0019,0.9982,363.34K,0.05%
2018-09-24,0.999,1.0002,1.0002,0.999,1.02M,-0.01%
2018-09-25,0.999,0.999,1.0053,0.9982,1.02M,0.01%
2018-09-26,0.9976,1.0038,1.009,0.9834,3.04M,-0.14%
2018-09-27,0.9977,0.9976,1.0075,0.9976,2.30M,0.01%
2018-09-28,0.9983,1.0015,1.0015,0.9983,955.24K,0.06%
2018-09-29,0.9972,0.9983,0.9983,0.9972,503.20K,-0.10%
2018-09-30,0.9969,0.9972,1.0042,0.9969,352.28K,-0.03%
2018-10-01,0.9951,0.9971,0.9971,0.9951,1.20M,-0.18%
2018-10-02,0.9919,1.007,1.007,0.9919,2.25M,-0.32%
2018-10-03,0.9939,1.0046,1.0046,0.9939,1.16M,0.19%
2018-10-04,0.9939,0.9937,0.9939,0.9937,1.24M,0.01%
2018-10-05,0.9922,1.007,1.007,0.9922,1.67M,-0.18%
2018-10-06,0.994,0.9922,0.994,0.9922,420.89K,0.18%
2018-10-07,0.9942,0.994,0.9942,0.994,611.95K,0.02%
2018-10-08,0.9909,0.9942,1.0092,0.9901,2.08M,-0.33%
2018-10-09,0.9895,0.9909,1.0042,0.9888,1.30M,-0.15%
2018-10-10,0.9831,1.0049,1.0049,0.983,1.46M,-0.65%
2018-10-11,0.9826,0.9831,1.0078,0.9733,5.30M,-0.05%
2018-10-12,0.9817,1.0243,1.0243,0.9719,3.50M,-0.09%
2018-10-13,0.9803,1.0212,1.0212,0.9794,1.66M,-0.14%
2018-10-14,0.9763,0.9803,1.0202,0.9726,2.72M,-0.41%
2018-10-15,0.9569,1.0203,1.0203,0.8718,30.08M,-1.98%
2018-10-16,0.9543,0.9569,0.9908,0.9514,12.47M,-0.27%
2018-10-17,0.9577,0.9543,0.9891,0.9525,4.12M,0.35%
2018-10-18,0.9648,0.9577,0.9899,0.9555,5.39M,0.75%
2018-10-19,0.9772,0.9648,0.9931,0.9648,2.17M,1.29%
2018-10-20,0.9738,0.9772,1.0034,0.9728,1.59M,-0.35%
2018-10-21,0.9747,1.0001,1.0001,0.9733,1.28M,0.09%
2018-10-22,0.9736,0.9747,0.9994,0.9682,1.86M,-0.11%
2018-10-23,0.978,0.9985,0.9985,0.9713,2.50M,0.45%
2018-10-24,0.9786,0.978,1.0016,0.9743,989.26K,0.06%
2018-10-25,0.9778,0.9786,1.005,0.9753,2.19M,-0.09%
2018-10-26,0.9794,0.9778,1.0075,0.9766,3.31M,0.16%
2018-10-27,0.9901,0.9794,1.0083,0.9794,10.33M,1.10%
2018-10-28,0.9907,1.0084,1.0084,0.9881,18.34M,0.06%
2018-10-29,0.987,1.012,1.012,0.9828,9.94M,-0.37%
2018-10-30,0.9934,0.9931,0.9962,0.9868,16.38M,0.65%
2018-10-31,0.992,0.9962,0.9964,0.9892,9.65M,-0.14%
2018-11-01,0.9912,0.992,0.9955,0.9885,3.37M,-0.08%
2018-11-02,0.9895,0.9938,0.9953,0.9885,3.10M,-0.17%
2018-11-03,0.9942,0.9895,0.9963,0.9895,1.22M,0.47%
2018-11-04,0.9916,0.9942,0.9964,0.99,1.65M,-0.26%
2018-11-05,0.9915,0.9916,0.9946,0.9887,1.94M,-0.01%
2018-11-06,0.9913,0.9956,0.9989,0.9877,2.62M,-0.01%
2018-11-07,0.991,0.993,0.9931,0.9858,5.73M,-0.03%
2018-11-08,0.9898,0.991,0.9922,0.9869,5.02M,-0.13%
2018-11-09,0.9871,0.9898,0.993,0.9866,3.70M,-0.27%
2018-11-10,0.9879,0.9871,0.9919,0.9862,2.69M,0.08%
2018-11-11,0.9865,1.0008,1.0016,0.9853,3.16M,-0.14%
2018-11-12,0.9804,0.9865,0.993,0.9803,5.07M,-0.63%
2018-11-13,0.9693,0.9803,0.9882,0.9693,4.34M,-1.13%
2018-11-14,0.9506,0.9693,0.9806,0.942,12.70M,-1.93%
2018-11-15,0.9706,0.9506,0.9799,0.9506,14.56M,2.10%
2018-11-16,0.9765,0.9706,0.9846,0.9706,10.08M,0.61%
2018-11-17,0.9798,0.9765,0.9952,0.9765,9.61M,0.34%
2018-11-18,0.9847,0.9798,0.9931,0.9798,7.60M,0.50%
2018-11-19,0.9637,0.9982,0.9982,0.9636,15.65M,-2.14%
2018-11-20,0.9571,0.9637,0.9748,0.9319,18.03M,-0.68%
2018-11-21,0.974,0.9571,0.9778,0.9571,8.20M,1.76%
2018-11-22,0.9779,0.9833,0.984,0.9712,5.24M,0.40%
2018-11-23,0.9709,0.9779,0.9816,0.9692,5.58M,-0.71%
2018-11-24,0.9637,0.9709,0.9909,0.9589,8.16M,-0.75%
2018-11-25,0.9626,0.9637,0.9734,0.9472,9.56M,-0.11%
2018-11-26,0.9656,0.9626,0.9733,0.9547,6.58M,0.31%
2018-11-27,0.9714,0.9656,0.9764,0.9656,5.78M,0.60%
2018-11-28,0.9891,0.9779,0.9903,0.9736,13.36M,1.82%
2018-11-29,0.9889,0.9891,0.993,0.9842,5.71M,-0.02%
2018-11-30,0.9857,0.9889,0.993,0.9812,2.86M,-0.32%
2018-12-01,0.9881,0.9857,0.9923,0.9838,2.32M,0.24%
2018-12-02,0.9842,0.9881,0.999,0.9833,1.24M,-0.39%
2018-12-03,0.9894,0.9842,0.9927,0.9835,1.82M,0.52%
2018-12-04,0.9879,0.9894,0.9956,0.9868,3.09M,-0.14%
2018-12-05,0.9833,0.9879,1.0036,0.9809,2.25M,-0.47%
2018-12-06,0.981,0.9826,0.9911,0.9805,2.87M,-0.23%
2018-12-07,0.9931,0.984,0.9978,0.984,8.53M,1.23%
2018-12-08,0.9964,0.9931,1.0007,0.9886,3.65M,0.33%
2018-12-09,0.995,0.9964,1.0004,0.9942,1.51M,-0.15%
2018-12-10,0.9971,0.995,1.0004,0.9936,1.32M,0.21%
2018-12-11,0.9928,1.0076,1.0104,0.9885,2.40M,-0.43%
2018-12-12,0.9955,1.003,1.003,0.9945,1.98M,0.28%
2018-12-13,0.9884,0.9955,1.0045,0.9867,6.53M,-0.71%
2018-12-14,0.993,0.9884,0.9933,0.9864,2.44M,0.46%
2018-12-15,0.9922,0.9932,0.9984,0.991,1.05M,-0.08%
2018-12-16,0.9919,0.9922,0.9993,0.9897,1.19M,-0.03%
2018-12-17,0.9974,0.9919,1.003,0.9918,3.52M,0.55%
2018-12-18,1.0039,0.9974,1.0044,0.9967,5.55M,0.65%
2018-12-19,1.0047,1.009,1.0145,0.9978,5.08M,0.08%
2018-12-20,1.0065,1.0047,1.0139,1.0003,8.73M,0.18%
2018-12-21,1.0007,1.0065,1.0105,1.0006,4.07M,-0.57%
2018-12-22,1.0082,1.0022,1.0085,0.9999,2.55M,0.75%
2018-12-23,1.004,1.0146,1.015,1.0032,1.45M,-0.42%
2018-12-24,1.0053,1.01,1.0115,1.0034,4.43M,0.13%
2018-12-25,1.0116,1.0053,1.0136,1.0033,2.30M,0.62%
2018-12-26,1.0096,1.0116,1.019,1.0072,1.24M,-0.19%
2018-12-27,1.0075,1.0162,1.0162,1.006,2.50M,-0.21%
2018-12-28,1.0117,1.0075,1.0173,1.0043,7.10M,0.42%
2018-12-29,1.0097,1.0144,1.0184,1.0054,3.47M,-0.20%
2018-12-30,1.0083,1.0097,1.0119,1.0048,2.28M,-0.15%
2018-12-31,0.9996,1.0083,1.0113,0.9996,2.67M,-0.86%
2019-01-01,1.0063,0.9995,1.0076,0.999,1.36M,0.67%
2019-01-02,1.0073,1.0063,1.0172,1.0045,4.99M,0.10%
2019-01-03,1.0054,1.0083,1.01,1.0036,4.65M,-0.19%
2019-01-04,1.0066,1.0054,1.0108,1.0019,5.78M,0.12%
2019-01-05,1.0058,1.0066,1.0132,1.0051,2.83M,-0.08%
2019-01-06,1.0113,1.0058,1.015,1.0041,4.48M,0.55%
2019-01-07,1.0067,1.0169,1.0169,1.0063,2.58M,-0.45%
2019-01-08,1.0066,1.0067,1.0136,1.0053,8.54M,-0.02%
2019-01-09,1.007,1.0066,1.0143,1.004,8.44M,0.04%
2019-01-10,1.0102,1.007,1.0119,1.0026,13.04M,0.32%
2019-01-11,1.0078,1.0102,1.0205,1.0076,17.39M,-0.23%
2019-01-12,1.0091,1.0078,1.0265,1.0078,2.79M,0.13%
2019-01-13,1.0088,1.0091,1.0172,1.0084,4.02M,-0.03%
2019-01-14,1.0091,1.0182,1.0198,1.0085,12.12M,0.03%
2019-01-15,1.0064,1.0091,1.0166,1.0062,8.99M,-0.26%
2019-01-16,1.0038,1.0064,1.0156,1.0036,7.37M,-0.26%
2019-01-17,1.0054,1.0038,1.0127,1.0032,9.18M,0.16%
2019-01-18,1.0039,1.0054,1.0178,1.0033,4.99M,-0.15%
2019-01-19,1.004,1.0039,1.0263,1.0037,5.76M,0.00%
2019-01-20,1.0012,1.004,1.0124,0.9981,1.87M,-0.28%
2019-01-21,1.0026,1.0012,1.0167,1.0012,1.41M,0.15%
2019-01-22,1.0017,1.0158,1.0158,1.0006,2.61M,-0.10%
2019-01-23,1.0039,1.0017,1.0091,1.0017,2.25M,0.23%
2019-01-24,1.0023,1.0039,1.0238,1.0009,1.70M,-0.16%
2019-01-25,1.0012,1.0023,1.0124,1.0003,1.15M,-0.11%
2019-01-26,1.0011,1.0116,1.0126,0.9991,421.20K,-0.01%
2019-01-27,0.9989,1.0011,1.0116,0.9987,667.11K,-0.22%
2019-01-28,1.0,0.9989,1.0215,0.9977,2.08M,0.11%
2019-01-29,0.9963,1.0,1.0118,0.9954,2.18M,-0.37%
2019-01-30,0.9947,0.9963,1.0062,0.9944,2.30M,-0.15%
2019-01-31,0.9949,0.9947,1.0073,0.9926,3.02M,0.02%
2019-02-01,0.9933,1.0005,1.002,0.9903,1.79M,-0.16%
2019-02-02,0.9904,1.0012,1.0052,0.9904,742.68K,-0.29%
2019-02-03,0.9889,0.9904,0.9941,0.9879,1.01M,-0.16%
2019-02-04,0.9859,0.9899,0.991,0.9856,1.29M,-0.30%
2019-02-05,0.9889,0.9859,0.9917,0.9859,2.24M,0.30%
2019-02-06,0.9888,0.9889,0.9962,0.9869,3.28M,0.00%
2019-02-07,0.9888,0.9888,0.9972,0.988,1.89M,0.00%
2019-02-08,0.9899,0.9954,0.9954,0.9864,6.93M,0.11%
2019-02-09,0.9898,0.9899,0.9944,0.9889,1.81M,-0.02%
2019-02-10,0.9924,0.9942,0.9949,0.9897,1.70M,0.27%
2019-02-11,0.9886,0.9924,0.9983,0.9878,2.75M,-0.39%
2019-02-12,0.9887,0.9886,0.996,0.9872,2.39M,0.01%
2019-02-13,0.9896,0.9887,0.9938,0.9887,2.08M,0.10%
2019-02-14,0.9907,0.9947,0.9947,0.9893,4.14M,0.11%
2019-02-15,0.9906,0.9907,0.9965,0.9904,2.46M,-0.01%
2019-02-16,0.9906,0.9906,0.9942,0.99,1.87M,0.00%
2019-02-17,0.9893,0.9906,0.997,0.988,2.92M,-0.14%
2019-02-18,0.9925,0.9893,1.0055,0.9893,5.36M,0.32%
2019-02-19,0.9931,0.9925,1.0066,0.9925,2.28M,0.06%
2019-02-20,0.9919,0.9931,1.0049,0.9899,3.44M,-0.11%
2019-02-21,0.9902,0.9919,0.9958,0.9902,2.54M,-0.18%
2019-02-22,0.9929,0.9902,0.9951,0.9902,3.18M,0.28%
2019-02-23,0.9986,0.9929,0.9989,0.9929,4.28M,0.57%
2019-02-24,0.9984,1.0016,1.0024,0.9942,5.54M,-0.02%
2019-02-25,0.9971,0.9984,1.0082,0.9937,3.90M,-0.13%
2019-02-26,0.997,0.9965,1.0001,0.9951,1.56M,-0.01%
2019-02-27,0.9955,0.997,1.0009,0.9947,2.90M,-0.15%
2019-02-28,0.9954,1.0051,1.0095,0.9946,2.28M,-0.01%
2019-03-01,0.9962,0.9954,1.0211,0.9948,2.16M,0.08%
2019-03-02,0.999,1.0073,1.0075,0.9975,572.40K,0.28%
2019-03-03,0.9947,1.0033,1.0048,0.9946,1.31M,-0.43%
2019-03-04,0.9967,0.9947,1.0001,0.9947,2.01M,0.20%
2019-03-05,0.9972,1.0023,1.003,0.9949,5.30M,0.05%
2019-03-06,0.9964,0.9972,1.0006,0.9955,2.18M,-0.07%
2019-03-07,0.9958,0.9964,1.0011,0.9957,1.80M,-0.06%
2019-03-08,0.9943,0.9958,1.0015,0.994,1.34M,-0.16%
2019-03-09,0.994,0.9943,0.9992,0.9937,1.28M,-0.03%
2019-03-10,0.9966,0.9937,0.9975,0.9937,440.90K,0.26%
2019-03-11,0.9953,0.9966,1.0008,0.9942,1.30M,-0.13%
2019-03-12,0.9961,0.9953,0.9997,0.9936,1.46M,0.08%
2019-03-13,0.997,0.9961,1.0009,0.9953,1.34M,0.09%
2019-03-14,0.9948,1.0031,1.0031,0.9936,3.43M,-0.22%
2019-03-15,0.9958,1.0004,1.0014,0.9933,1.49M,0.10%
2019-03-16,0.9985,0.9958,1.0035,0.9958,2.51M,0.27%
2019-03-17,0.9963,0.9985,1.0132,0.9958,603.51K,-0.22%
2019-03-18,0.9962,0.9963,1.0044,0.9941,1.62M,-0.01%
2019-03-19,0.9965,0.9962,1.0039,0.9948,1.63M,0.04%
2019-03-20,0.9976,0.9965,0.9986,0.9952,1.60M,0.11%
2019-03-21,0.9979,0.9976,1.0006,0.9971,6.08M,0.03%
2019-03-22,0.9979,0.9979,1.0048,0.9977,2.39M,0.00%
2019-03-23,0.9965,0.9979,1.0029,0.9963,1.33M,-0.14%
2019-03-24,0.9969,0.9965,1.0103,0.9965,1.06M,0.04%
2019-03-25,0.9949,0.9969,1.0086,0.9943,1.61M,-0.20%
2019-03-26,0.9965,0.9949,0.999,0.9949,698.60K,0.16%
2019-03-27,0.997,0.9965,1.0026,0.9955,2.32M,0.05%
2019-03-28,0.9961,1.0015,1.0015,0.9957,1.92M,-0.09%
2019-03-29,0.9973,0.9961,0.9989,0.9943,2.81M,0.12%
2019-03-30,0.9979,1.0084,1.01,0.9974,896.23K,0.06%
2019-03-31,1.0006,0.9979,1.0056,0.9976,673.41K,0.27%
2019-04-01,0.9983,1.0006,1.0039,0.9969,2.20M,-0.23%
2019-04-02,1.0072,0.9999,1.0239,0.9982,9.81M,0.89%
2019-04-03,1.0054,1.0072,1.0108,0.9969,9.56M,-0.18%
2019-04-04,1.002,1.0054,1.0082,1.0007,6.44M,-0.33%
2019-04-05,1.0054,1.002,1.006,0.9998,3.61M,0.34%
2019-04-06,1.0004,1.0054,1.0072,1.0003,1.61M,-0.50%
2019-04-07,1.0036,1.0004,1.0066,0.9998,947.26K,0.33%
2019-04-08,1.0067,1.0036,1.0127,1.0006,10.76M,0.31%
2019-04-09,1.0066,1.0112,1.0112,1.0052,16.72M,-0.01%
2019-04-10,1.0022,1.0108,1.0116,1.0014,15.40M,-0.43%
2019-04-11,1.0041,1.0022,1.0083,1.0019,12.76M,0.19%
2019-04-12,1.0032,1.0068,1.0095,1.0027,12.03M,-0.09%
2019-04-13,1.0038,1.0092,1.0092,1.0031,1.13M,0.06%
2019-04-14,1.004,1.0038,1.0083,1.0032,1.54M,0.03%
2019-04-15,1.0006,1.004,1.0102,1.0006,5.87M,-0.34%
2019-04-16,1.0035,1.0006,1.0059,1.0006,4.14M,0.28%
2019-04-17,1.0029,1.0035,1.007,1.0027,5.60M,-0.06%
2019-04-18,1.0036,1.0029,1.0099,1.0022,2.98M,0.07%
2019-04-19,1.0035,1.0036,1.0085,1.0023,4.18M,-0.01%
2019-04-20,1.0034,1.0035,1.0058,1.0026,1.44M,-0.01%
2019-04-21,1.0049,1.0034,1.0069,1.0034,3.05M,0.15%
2019-04-22,1.0041,1.0049,1.013,1.0033,8.02M,-0.08%
2019-04-23,1.006,1.007,1.012,1.0042,12.47M,0.19%
2019-04-24,1.0046,1.0093,1.0106,1.0045,20.76M,-0.14%
2019-04-25,0.9895,1.0046,1.0116,0.9867,22.64M,-1.51%
2019-04-26,0.9973,0.9895,1.0073,0.9895,24.76M,0.79%
2019-04-27,1.0069,0.9973,1.015,0.9967,8.55M,0.97%
2019-04-28,0.9953,1.0069,1.0234,0.9953,6.91M,-1.15%
2019-04-29,1.0152,1.0258,1.0312,1.0073,11.32M,2.00%
2019-04-30,1.0207,1.0152,1.042,1.0152,13.27M,0.54%
2019-05-01,1.0111,1.0207,1.0445,1.0107,6.96M,-0.94%
2019-05-02,1.0166,1.0111,1.0441,1.0111,6.59M,0.55%
2019-05-03,1.0159,1.0166,1.0401,1.0157,9.96M,-0.07%
2019-05-04,1.0114,1.0159,1.0422,1.0073,5.37M,-0.44%
2019-05-05,1.0288,1.0114,1.0398,1.0114,3.79M,1.72%
2019-05-06,1.0213,1.0457,1.0496,1.0206,6.93M,-0.73%
2019-05-07,1.0281,1.0213,1.0492,1.0213,14.46M,0.66%
2019-05-08,1.0189,1.0281,1.0436,1.0177,5.38M,-0.90%
2019-05-09,1.0057,1.0306,1.0315,1.0057,7.76M,-1.30%
2019-05-10,1.0031,1.0057,1.0137,1.0031,11.97M,-0.25%
2019-05-11,1.0,1.0081,174.1763,0.9991,27.61M,-0.31%
2019-05-12,1.0011,1.0,1.0077,0.9958,24.21M,0.11%
2019-05-13,0.9989,1.0011,1.0119,0.997,40.11M,-0.22%
2019-05-14,0.9966,0.9989,0.9994,0.9906,31.85M,-0.23%
2019-05-15,0.9978,0.9966,1.0026,0.9949,15.31M,0.12%
2019-05-16,0.9994,0.9956,1.0022,0.9946,16.95M,0.16%
2019-05-17,1.005,0.9994,1.0101,0.9945,20.22M,0.56%
2019-05-18,1.0012,1.0049,1.0079,1.0004,5.74M,-0.37%
2019-05-19,1.0044,1.0012,1.0065,1.0,14.31M,0.32%
2019-05-20,1.0057,1.0044,1.0058,1.0001,12.48M,0.13%
2019-05-21,1.0039,1.0056,1.007,1.0025,8.59M,-0.18%
2019-05-22,1.0,1.0039,1.0046,0.9991,10.32M,-0.39%
2019-05-23,1.0029,1.0,1.0036,0.9988,6.47M,0.29%
2019-05-24,1.003,1.0024,1.0067,1.0019,8.90M,0.01%
2019-05-25,1.003,1.003,1.0049,1.0021,11.32M,0.00%
2019-05-26,1.0091,1.003,1.0142,1.001,30.85M,0.61%
2019-05-27,1.0036,1.0088,1.0134,1.0015,19.30M,-0.54%
2019-05-28,1.0014,1.0036,1.0049,1.0006,9.11M,-0.22%
2019-05-29,1.0031,1.0014,1.004,1.001,14.97M,0.18%
2019-05-30,1.0003,1.0031,1.004,0.9995,25.00M,-0.28%
2019-05-31,0.9988,1.0003,1.0009,0.9963,16.56M,-0.15%
2019-06-01,1.0002,0.9988,1.0023,0.9975,8.19M,0.14%
2019-06-02,1.0006,1.0002,1.0033,0.9994,6.39M,0.03%
2019-06-03,0.9989,1.0006,1.002,0.9968,15.94M,-0.17%
2019-06-04,0.9995,0.9989,1.001,0.9958,15.08M,0.06%
2019-06-05,1.002,0.9995,1.0034,0.9995,7.74M,0.25%
2019-06-06,1.0024,1.002,1.0032,1.0006,5.90M,0.04%
2019-06-07,1.0024,1.0024,1.004,1.0012,7.15M,0.00%
2019-06-08,1.0039,1.0024,1.0041,1.001,1.98M,0.15%
2019-06-09,1.0013,1.0039,1.0046,1.0008,5.83M,-0.26%
2019-06-10,1.0039,1.0013,1.0047,1.0007,6.37M,0.26%
2019-06-11,1.0031,1.0039,1.0042,1.0014,7.56M,-0.08%
2019-06-12,1.0036,1.0028,1.0055,1.0024,20.18M,0.05%
2019-06-13,1.0017,1.0036,1.0039,1.0017,11.64M,-0.19%
2019-06-14,1.0041,1.0017,1.0041,1.0007,12.76M,0.24%
2019-06-15,1.0037,1.0035,1.0043,1.003,11.67M,-0.03%
2019-06-16,1.0022,1.0036,1.0062,1.0014,20.70M,-0.15%
2019-06-17,1.0033,1.0023,1.0046,1.0009,14.72M,0.11%
2019-06-18,1.0005,1.0035,1.0043,0.9991,13.73M,-0.28%
2019-06-19,1.0034,1.0005,1.0034,1.0005,7.45M,0.29%
2019-06-20,1.0034,1.0034,1.0044,1.0024,10.88M,0.00%
2019-06-21,1.0033,1.0039,1.0043,1.0007,13.25M,0.00%
2019-06-22,1.0001,1.0033,1.004,0.9975,27.62M,-0.32%
2019-06-23,0.9977,1.0014,1.0016,0.9966,12.35M,-0.23%
2019-06-24,0.9984,0.9978,1.0009,0.9975,12.81M,0.07%
2019-06-25,0.9953,0.9984,1.0003,0.9953,16.39M,-0.31%
2019-06-26,0.9869,0.9953,0.9979,0.9817,51.67M,-0.85%
2019-06-27,0.9884,0.9869,0.9948,0.9855,36.07M,0.15%
2019-06-28,0.9928,0.9883,0.9961,0.9865,28.91M,0.45%
2019-06-29,0.9989,0.9928,0.9995,0.992,16.43M,0.62%
2019-06-30,0.9937,0.9989,1.0008,0.9921,11.44M,-0.52%
2019-07-01,1.0007,0.9936,1.0021,0.9936,14.64M,0.70%
2019-07-02,1.0021,1.0007,1.0036,0.9973,16.80M,0.14%
2019-07-03,1.0029,1.0032,1.0036,1.0003,19.91M,0.07%
2019-07-04,1.0014,1.0029,1.0034,1.0014,16.44M,-0.14%
2019-07-05,1.0022,1.0014,1.0033,0.9988,9.93M,0.08%
2019-07-06,1.0026,1.0022,1.0047,1.0022,18.00M,0.04%
2019-07-07,1.0045,1.0026,1.0047,1.0021,9.64M,0.19%
2019-07-08,1.0039,1.0045,1.0049,1.0036,19.87M,-0.06%
2019-07-09,1.0017,1.004,1.0042,1.0004,13.68M,-0.22%
2019-07-10,0.9985,1.0017,1.0029,0.9979,15.43M,-0.33%
2019-07-11,1.0002,0.9985,1.002,0.998,10.54M,0.17%
2019-07-12,1.0027,1.0002,1.0033,0.9989,4.83M,0.26%
2019-07-13,0.9977,1.0024,1.0028,0.9961,12.31M,-0.50%
2019-07-14,1.0006,0.9977,1.0007,0.9957,10.65M,0.29%
2019-07-15,0.9989,1.0006,1.0024,0.9986,8.88M,-0.17%
